id,zoho_name,cmrr_name,install_name,domain
271,Excite Panacea Limited,Excite Panacea Limited,Intercontinental Distillers Limited (IDL),idlng
272,Excite Panacea Limited,Excite Panacea Limited,Red Bull,redbullng
273,Excite Panacea Limited,Excite Panacea Limited,Sanda tireda limited,sandatireda
274,Familycare Consumer Private Limited,Familycare Consumer Private Limited,Familycare Consumer Pvt. Ltd.,familycare
275,Fena Private Limited,Fena Private Limited,Fena (P) Limited (INDIA),fena
276,Fena Private Limited,Fena Private Limited,Fena (P) Limited (INDIA).,fenadms
277,Figo India Private Limited,Figo India Private Limited,Figo India private Limited,figoindia
278,Firefox Bikes Private Limited,Firefox Bikes Private Limited,Firefox Bikes,firefoxbikes
279,Fitshit Health Solutions Private Limited,Fitshit Health Solutions Private Limited,Fitshit health solutions private limited,thewholetruthfoods
280,Fitshit Health Solutions Private Limited,Fitshit Health Solutions Private Limited,thewholetruthfoodpromoters,thewholetruthfoodpromoters
281,FNI Spices Private Limited,FNI Spices Private Limited,KUSUM MASALA,kusummasala
282,FNI Spices Private Limited,FNI Spices Private Limited,KUSUM MASALA,kusummasala
283,Food Service (India) Private Limited,Food Service (India) Private Limited,FOOD SERVICE INDIA PVT. LTD.,fsipl
284,Food Service (India) Private Limited,Food Service (India) Private Limited,FOOD SERVICE INDIA PVT. LTD.,fsipl
285,Foods And Inns Limited,Foods And Inns Limited,Foods & Inns,greentop
286,Foods And Inns Limited,Foods And Inns Limited,Foods & Inns,greentop
287,Foodsolve Private Limited,Foodsolve Private Limited,Gramiyaa,gramiyaa
288,Freudenberg Gala Household Products Private Limited,Freudenberg Gala Household Products Private Limited,Freudenberg Gala Household Products Pvt. Ltd.,fhp
289,Freudenberg Gala Household Products Private Limited,Freudenberg Gala Household Products Private Limited,Freudenberg Gala Household Products Private Limited,fhpmt
290,G M Tea Packers Private Limited,G M Tea Packers Private Limited,Tulsi Tea,tulsitea
291,Gadre Marine Export Private Limited,Gadre Marine Export Private Limited,"GADRE MARINE EXPORT PVT LTD, FP1, MIDC, MIRJOLE, BLOCK RATNGIRI 415639, MAHARASHTRA",gadremarine
292,Gajraj Agrotech Private Limited,Gajraj Agrotech Private Limited,GAJRAJ AGROTECH PRIVATE LIMITED,gajraj
293,Galderma India Private Limited,Galderma India Private Limited,GALDERMA INDIA PRIVATE LIMITED,galderma
294,Galderma India Private Limited,Galderma India Private Limited,galdermahsa,galdermahsa
295,Gandhi Spices Private Limited,Gandhi Spices Private Limited,Hathi Masala,hathim
296,Ganesh Food Products Private Limited (Bayars),Ganesh Food Products Private Limited (Bayars),Ganesh Food Products (P) Ltd,bayars
297,Ganesh Food Products Private Limited (Bayars),Ganesh Food Products Private Limited (Bayars),Ganesh Food Products (P) Ltd,bayars
298,Gatbro International Ltd,Gatbro International Ltd,Gatbro International LTD,gatbrointernational
299,Geksons Nutrition LLP,Geksons Nutrition LLP,Geksons Nutrition LLP,geksons
300,Gemini Edibles & Fats India Private Limited (GEF),Gemini Edibles & Fats India Limited (GEF),Gemini Edibles and Fats,missionfreedom
301,Gemini Edibles & Fats India Private Limited (GEF),Gemini Edibles & Fats India Limited (GEF),Gemini Edibles and Fats,missionfreedom
302,Gemini Edibles & Fats India Private Limited (GEF),Gemini Edibles & Fats India Limited (GEF),Gemini Edibles and Fats,missionfreedom
303,Gemini Edibles & Fats India Limited (GEF),GEF Foods India Private Limited,GEF Foods India Private Limited,geffoodsconnect
304,GG Organics Care Private Limited,GG Organics Care Private Limited,GG Organics Care Private Limited,mugi
305,Gits Food Products Private Limited,Gits Food Products Private Limited,gitsfood,gitsfood
306,Gits Food Products Private Limited,Gits Food Products Private Limited,gitsfoodmt,gitsfoodmt
307,Gits Food Products Private Limited,Gits Food Products Private Limited,gitshoreca,gitshoreca
308,Gits Food Products Private Limited,Gits Food Products Private Limited,gitsmilkfoods,gitsmilkfoods
309,Glaxosmithkline Asia Private Limited,Glaxosmithkline Asia Private Limited,Haleon,iris
310,Glaxosmithkline Asia Private Limited,Glaxosmithkline Asia Private Limited,Heineken,latamdemo
311,Glaxosmithkline Asia Private Limited,Glaxosmithkline Asia Private Limited,haleon - demo,irisnew
312,Glaxosmithkline Asia Private Limited,Glaxosmithkline Asia Private Limited,Haleon,iris
313,Glenmark Pharmaceuticals Limited,Glenmark Pharmaceuticals Limited,Glenmark,glenmark
314,Glenmark Pharmaceuticals Limited,Glenmark Pharmaceuticals Limited,Glenmark,glenmark
315,Global Dent Aids Private Limited,Global Dent Aids Private Limited,GLOBAL DENT AIDS PRIVATE LIMITED,globaldent
316,Global Dent Aids Private Limited,Global Dent Aids Private Limited,GLOBAL DENT AIDS PRIVATE LIMITED,globaldent
317,Global Healthfit Retail India Private Limited,Global Healthfit Retail India Private Limited,Global Healthfit Retail India Private Limited,neuherbs
318,GLOBALBEES BRANDS PRIVATE LIMITED,GLOBALBEES BRANDS PRIVATE LIMITED,GLOBALBEES BRANDS PRIVATE LIMITED,urbangabru
319,GLOBALBEES BRANDS PRIVATE LIMITED,GLOBALBEES BRANDS PRIVATE LIMITED,GLOBALBEES BRANDS PRIVATE LIMITED,urbangabru
320,Globalstyle Technologies Private Limited,Globalstyle Technologies Private Limited,Tresbon Global Pvt LTD,tresbon
321,Goa Medicos Private Limited,Goa Medicos Private Limited,Goa Medicos Private Limited,goamedicos
322,Godrej And Boyce Manufacturing Co Ltd,Godrej And Boyce Manufacturing Co Ltd,Godrej Locks and Architectural Solutions,glas
323,Creamline Dairy Products Limited,Creamline Dairy Products Limited,creamline dairy products limited,godrejcdpl-sslproducts
324,Creamline Dairy Products Limited,Creamline Dairy Products Limited,Creamline Dairy Products Limited-4,godrejcdpl-gheeproducts
325,Creamline Dairy Products Limited,Creamline Dairy Products Limited,creamline dairy products limited 4,godrejinterio
326,Creamline Dairy Products Limited,Creamline Dairy Products Limited,Creamline Dairy Products Limited- procurement,godrejcdpl-procurement
327,Creamline Dairy Products Limited,Creamline Dairy Products Limited,creamline dairy products limited,godrejcdpl-sslproducts
328,Godrej Agrovet Limited,Godrej Agrovet Limited,Godrej Agrovet Private Limited,gavlaf
329,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej MT,g-next-mt
330,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej Consumer Products Limited 2,g-next-gp
331,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej GT,g-next
332,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej GT,g-next
333,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej Consumer Products Limited 1,gcplpd
334,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej Consumer Products Limited,godrejconsumer
335,Godrej Consumer Products Ltd.,Godrej Consumer Products Ltd.,Godrej Consumer Products Limited 2,g-next-gp
336,Godrej Tyson Foods Limited,Godrej Tyson Foods Limited,GODREJ FOODS LTD.,gtfl-yummiezretail
337,Godrej Tyson Foods Limited,Godrej Tyson Foods Limited,Godrej Foods Limited,gtfl-rgcretail
338,Godrej Tyson Foods Limited,Godrej Tyson Foods Limited,godrej tyson foods limited-2,gtfl-yummiezretailmt
339,Godrej Tyson Foods Limited,Godrej Tyson Foods Limited,GODREJ FOODS LTD.,gtfl-yummiezretailmt
340,Godrej Consumer Products Ltd - Nepal,Godrej Consumer Products Ltd - Nepal,GODREJ CONSUMER PRODUCTS LIMITED - NEPAL,godrejnepal
341,PT GODREJ DISTRIBUTION INDONESIA,PT Godrej Consumer Products Indonesia,Godrej Indonesia,godrejindo
342,PT GODREJ DISTRIBUTION INDONESIA,PT Godrej Consumer Products Indonesia,GCPL Indonesia Test,gcplindotest
343,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,godrejleo,godrejleo
344,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,godrejghana,godrejghana
345,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,godrejkenya,godrejkenya
346,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,godrejleo,godrejleo
347,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,Godrej,godrej
348,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,godrejindustries - veg oil division,godrejindustries-vod
349,GODREJ CONSUMER PRODUCTS LTD - Africa,GODREJ CONSUMER PRODUCTS LTD - Africa,Godrej Petcare,gcplgpc
350,Creamline Dairy Products Limited,Creamline Dairy Products Limited,CDPL- Godrej,godrejcdpl-dairyproducts
351,Creamline Dairy Products Limited,Creamline Dairy Products Limited,Creamline Dairy Products Limited -1,godrejcdpl-lslproducts
352,Creamline Dairy Products Limited,Creamline Dairy Products Limited,creamline dairy products limited-1,godrejcdpl-freshproducts
353,Creamline Dairy Products Limited,Creamline Dairy Products Limited,creamline dairy products limited-3,godrejcdpl-mt
354,Creamline Dairy Products Limited,Creamline Dairy Products Limited,Creamline Dairy Products Limited-5,godrejcdpl-curdroutes
355,Godrej Consumer Products Ltd - Nepal,Godrej Consumer Products Ltd - Nepal,GODREJ CONSUMER PRODUCTS LIMITED - NEPAL,godrejnepal
356,Godrej Tyson Foods Limited,Godrej Tyson Foods Limited,GODREJ FOODS LTD.,gtfl-yummiezretail
357,PT GODREJ DISTRIBUTION INDONESIA,PT Godrej Consumer Products Indonesia,GCPL Indonesia Test,gcplindotest
358,Gold Crown Beverages (Kenya) Ltd,Gold Crown Beverages (Kenya) Ltd,GOLD CROWN BEVERAGES (K) LTD.,gcbsfa
359,Good Roots Kitchenware Private Limited,Good Roots Kitchenware Private Limited,Good Roots Kitchenware Pvt Ltd,indus-valley
360,Gowdurbar Natural Products Private Limited,Gowdurbar Natural Products Private Limited,Gowdurbar Natural Products Priviate Limited,gowdurbar
361,Goyal Pulveriser and Chemicals Private Limited,Goyal Pulveriser and Chemicals Private Limited,Goyal Pulveriser & Chemicals Pvt Ltd,gotailsaom
362,Grainotch Industries Limited,Grainotch Industries Limited,Grainotch,grainotch
363,Grand Foods India,Grand Foods India,GRAND FOODS INDIA,grandfoodsindia
364,Grand Foods India,Grand Foods India,GRAND FOODS INDIA,grandfoodsindia
365,Grand Oak Limited,Grand Oak Limited,Grand Oak Ltd,grandoaklimited
366,Grand Oak Limited,Grand Oak Limited,Grand Oak Ltd,grandoaklimited
367,Graviss Foods Private Limited (Baskin Robbins),Graviss Foods Private Limited (Baskin Robbins),baskin robbins,brretail
368,Graviss Foods Private Limited (Baskin Robbins),Graviss Foods Private Limited (Baskin Robbins),baskin robbins-1,braudits
369,Graviss Foods Private Limited (Baskin Robbins),Graviss Foods Private Limited (Baskin Robbins),baskin robbins,brretail
370,GRB Dairy Foods Private Limited,GRB Dairy Foods Private Limited,GRB DAIRY FOODS PVT LTD,grbdairyfood
371,GRB Dairy Foods Private Limited,GRB Dairy Foods Private Limited,GRB DAIRY FOODS PVT LTD,grbdairyfood
372,GRB Dairy Foods Private Limited,GRB Dairy Foods Private Limited,GRB DAIRY FOODS PVT LTD,grbdairyfood
373,Grecy Homeware (India) Private Limited,Grecy Homeware (India) Private Limited,Grecy Homeware Pvt. Ltd.,grecy
374,Green Valley Food Processors Private Limited,Green Valley Food Processors Private Limited,Green Valley Food Processors P Ltd,greenvalley
375,Green Valley Food Processors Private Limited,Green Valley Food Processors Private Limited,Green Valley Food Processors P Ltd,greenvalley
376,Greendot Health Foods Private Limited(Cornitos),Greendot Health Foods Private Limited(Cornitos),cornitos,cornitos
377,Greendot Health Foods Private Limited(Cornitos),Greendot Health Foods Private Limited(Cornitos),mtcornitos,mtcornitos
378,GRM Foodkraft Private Limited,GRM Foodkraft Private Limited,GRM FOODKRAFT PRIVATE LIMITED,grmrice
379,STE BISO NA BISO SARL,Group SNS LLC FZ,Kin-Marche,kinmarche
380,STE BISO NA BISO SARL,Group SNS LLC FZ,Noble Group,noble
381,STE BISO NA BISO SARL,Group SNS LLC FZ,bnb group,bnbgroup
382,STE BISO NA BISO SARL,Group SNS LLC FZ,Unique Beverages S.A.,uniquebeverages
383,STE BISO NA BISO SARL,Group SNS LLC FZ,bnb group,bnbgroup
384,STE BISO NA BISO SARL,Group SNS LLC FZ,Noble Group,noble
385,STE BISO NA BISO SARL,Group SNS LLC FZ,Unique Beverages S.A.,uniquebeverages
386,STE BISO NA BISO SARL,Group SNS LLC FZ,Active Beauty Cosmetics,abc-cosmetics
387,STE BISO NA BISO SARL,Group SNS LLC FZ,Group SNS LLC FZ,alimentos
388,Guardian Healthcare Services Private Limited (GNC),Guardian Healthcare Services Private Limited (GNC),Guardian Healthcare,gnc-india
389,Guardian Healthcare Services Private Limited (GNC),Guardian Healthcare Services Private Limited (GNC),Guardian Healthcare,gnc-india
390,Gujarat Foodtech LLP,Gujarat Foodtech LLP,Gujarat Foodtech LLP,gujratfood
391,Gulkis Comércio E Indústria LDA,Gulkis Comércio E Indústria LDA,GULKIS COMÉRCIO E INDÚSTRIA LDA,gulkis
392,H D Wire Private Limited,H D Wire Private Limited,HD Wire (P) Limited,hdwire
393,Halonix Technologies Private Limited,Halonix Technologies Private Limited,halonix,halonix
394,Hamilton Housewares Private Limited,Hamilton Housewares Private Limited,Hamilton Housewares Pvt Ltd,hamilton
395,Hamilton Housewares Private Limited,Hamilton Housewares Private Limited,Hamilton Housewares Pvt Ltd,hamilton
396,Happilo International Private Limited,Happilo International Private Limited,Happilo International Pvt Ltd,happilo
397,Harmony Remedies India Private Limited,Harmony Remedies India Private Limited,Harmony Remedies India Pvt. Ltd,harmonyremedies
398,Hasiru Foods Private Limited,Hasiru Foods Private Limited,Hasiru Foods Pvt. Ltd,hasirufoods
399,Health Care Medicines (Surinder Pal),Health Care Medicines (Surinder Pal),HEALTHCARE MEDICINES,universalremedies
400,Heavenly Secrets Private Limited (Pilgrim),Heavenly Secrets Private Limited (Pilgrim),Pilgrim,pilgrim
401,Hello Baby Private Limited,Hello Baby Private Limited,Hello Baby Pvt ltd,hellobaby
402,Hero Cycles Limited,Hero Cycles Limited,Herocycles,herocycles
403,Hershey India Private Limited (ISD),Hershey India Private Limited (ISD),Hersheys,hersheys
404,Hershey India Private Limited (ISD),Hershey India Private Limited (ISD),hersheysmt,hersheysmt
405,Hershey India Private Limited (ISD),Hershey India Private Limited (ISD),Hersheysecom,hersheyecom
406,Hershey India Private Limited (ISD),Hershey India Private Limited (ISD),Hersheys,hersheys
407,Hershey India Private Limited (ISD),Hershey India Private Limited (ISD),Hersheys,hersheys
408,Himalaya Food Industries Private Limited,Himalaya Food Industries Private Limited,MS Himalaya Food Industries Pvt Ltd,himalayafoodindustries
409,Hindusthan Speciality Chemicals Limited,Hindusthan Speciality Chemicals Limited,Hindusthan Speciality Chemicals Ltd,hscl-sales
410,HR Food Processing Private Limited (Osam Dairy),HR Food Processing Private Limited (Osam Dairy),HR Food Processing Private Limited,osamdairy
411,HR Food Processing Private Limited (Osam Dairy),HR Food Processing Private Limited (Osam Dairy),HR Food Processing Private Limited,osamdairy
412,Hyderabad Food Products Private Limited,Hyderabad Food Products Private Limited,Hyderabad Food Products Pvt. Ltd,suryamasale
413,Hygard Household Products Private Limited,Hygard Household Product Private Limited,Hygard Household Product Private Limited,higard
414,Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Pvt. Ltd.,hri
415,Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Private Limited (HRI),hripd
416,Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Private Limited (HRI),Hygienic Research Institute Pvt. Ltd.,hri
417,Idam Natural Wellness Private Limited,Idam Natural Wellness Private Limited,Bella Vita Organic | IDAM House of Brands,idam
418,Imagine Marketing Limited,Imagine Marketing Limited,Imagine Marketing Private Limited,boat
419,Inbisco India Private Limited,Inbisco India Private Limited,Mayora India private limited,mayora
420,Inbisco India Private Limited,Inbisco India Private Limited,Mayora India private limited,mayora
421,Inbisco India Private Limited,Inbisco India Private Limited,Mayora India private limited,mayora
422,Inbisco India Private Limited,Inbisco India Private Limited,Mayora India private limited,mayora
423,Molson Coors India Private Limited,Inbrew Beverages Private Limited (Molson),Molson Coors India Private Limited,mcipl
424,Molson Coors India Private Limited,Inbrew Beverages Private Limited (Molson),Molson Coors India Private Limited - Claims,mciplclaims
425,Molson Coors India Private Limited,Inbrew Beverages Private Limited (Molson),mciplsecurity,mciplsecurity
426,Molson Coors India Private Limited,Inbrew Beverages Private Limited (Molson),Molson Coors India Private Limited,mcipl
427,Incredibleindriya Beauty Essentials Private Limited,Incredibleindriya Beauty Essentials Private Limited,IncredibleIndriya Beauty Essentials,incredibleindriya
428,Indepesca Overseas Private Limited.,Indepesca Overseas Private Limited,Bigsams,bigsams-iopl
429,India Sweet Co P Ltd,India Sweet Co P Ltd,INDIA SWEET COMPANY PRIVATE LIMITED,rajarams
430,Indira Food Private Limited,Indira Food Private Limited,Indira Food Pvt Ltd,indirafood
431,Indira Food Private Limited,Indira Food Private Limited,Indira foods - Promoter,indira-promo
432,Indiraa Foods,Indiraa Foods,INDIRAA FOODS,indiraa
433,Indo Nissin Foods Private Limited,Indo Nissin Foods Private Limited,Indo Nissin Food Private Limited,indonissin
434,Infinity Global Industries Private Limited,Infinity Global Industries Private Limited,Infinity,infinity
435,Inframandi Technologies Private Limited,Inframandi Technologies Private Limited,Inframandi Technologies Pvt Ltd,inframandi
436,Innovative Foods Limited,Innovative Foods Limited,sumeru,sumeru
437,Ithiki Technologies Private Limited,Ithiki Technologies Private Limited,Ithiki Technologies Private Limited,meshr
438,J K Cement Limited,J K Cement Limited,JK Cement Int Ltd.,jkcementint
439,J K Cement Limited,J K Cement Limited,JK cements Ltd.,jkcement
440,J K Cement Limited,J K Cement Limited,jkcementdemo,jkcementdemo
441,J L Morison India Limited,J L Morison India Limited,J L Morison (India) Ltd.,jlmsfa
442,J S Foods,J S Foods,Teju masala,teju-masala
443,Jamnahari Foods Private Limited,Jamnahari Foods Private Limited,JAMNAHARI FOODS PRIVATE LIMITED,jhfpl
444,JANANI,Janani Family Care Private Limited,Janani Family Care Private Limited,salesworks
445,JANANI,Janani Family Care Private Limited,Janani Family Care Private Limited,salesworks
446,Jeevitha Enterprises,Jeevitha Enterprises,Jeevitha Enterprises,jeenimilletmix
447,JGI Distribution Pvt. Ltd.,JGI Distribution Pvt. Ltd.,Jawalakhel Group of Industries,jginepal
448,JGI Distribution Pvt. Ltd.,JGI Distribution Pvt. Ltd.,Jawalakhel Group of Industries,jginepal
449,JIS Farms Private Limited,JIS Farms Private Limited,JIS Farms Private Limited,joifarm
450,Jovees Herbal Care Private Limited,Jovees Herbal Care Private Limited,Jovees Herbal care Pvt. Ltd.,jovees
451,Joyo Plastics,Joyo Plastics,JOYO PLASTICS,joyocrm
452,JP Distilleries Private Limited,JP Distilleries Private Limited,J P Distilleries Pvt Ltd,teamjp
453,Jyothy Labs Limited (ISD),Jyothy Labs Limited,Jyothy Labs Ltd.,jyothylabdms
454,Jyothy Labs Limited (ISD),Jyothy Labs Limited,Jyothy Labs Ltd.,jyothylabmt
455,Jyothy Labs Limited (ISD),Jyothy Labs Limited,jyothylabs sfa mt,jyothylabsfamt
456,Jyothy Labs Limited (ISD),Jyothy Labs Limited,Jyothylab sfa csd,jyothylabsfacsd
457,Sahyadri Bio Labs Private Limited,Sahyadri Bio Labs Private Limited,Sahyadri Bio Labs Pvt Ltd,sahyadrisfa
458,Jyoti India Kitchensink Private Limited,Jyoti India Kitchensink Private Limited,Jyothi Sink,nirali-ng
459,K D Iron And Steel Private Limited,K D Iron And Steel Private Limited,KD Iron Steel Pvt Ltd,kdiron
460,K Pra Foods Private Limited,K Pra Foods Private Limited,K-pra Foods Pvt Ltd,k-pra
461,Kairos Super Foods Private Limited.,Kairos Super Foods Private Limited,ANCIENT ROOTS,ancientroots
462,Kamal Healthcare Products Private Limited,Kamal Healthcare Products Private Limited,Kamal Healthcare Products Pvt Ltd,khcpl
463,Kanan Devan Hills Plantations Company Private Limited,Kanan Devan Hills Plantations Company Private Limited,Kanan Devan Hills Plantations Company Private Limited,rippletea
464,Kanin India Limited,Kanin Industries Private Limited (Kangaro),kangaro,kangaro
465,Kansai Nerolac Paints Limited,Kansai Nerolac Paints Limited,Kansai Nerolac Paints Limited,nerolac
466,Kansai Nerolac Paints Limited,Kansai Nerolac Paints Limited,Kansai Nerolac Paints Limited,nerolac
467,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited.,kapilakrishi
468,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Ltd,kapilafeed
469,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited,kapilaagro,kapilaagro
470,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited,kapilaagro,kapilaagro
471,Kapila Krishi Udyog Limited,Kapila Krishi Udyog Limited,kapilaagro,kapilaagro
472,Karkhana Zinda Tilismath,Karkhana Zinda Tilismath,Karkhana Zinda Tilismath,zindatilismath
473,Keeline Appliances Private Limited,Keeline Appliances Private Limited,Keeline Appliance Pvt Ltd.,keeline
474,Kerala Ayurveda Limited,Kerala Ayurveda Limited,KERALA AYURVEDA LIMITED,keralaayurveda
475,Kesseboehmer Furniture Fittings India Private Limited,Kesseboehmer Furniture Fittings India Private Limited,Kesseboehmer Furniture Fittings India Pvt. Ltd,kesseboehmer
476,Keventer Agro Limited,Keventer Agro Limited,Keventer Agro Limited,keventer
477,Keventer Agro Limited,Keventer Agro Limited,Keventer Agro Limited - Banana,keventerbanana
478,Keventer Agro Limited,Keventer Agro Limited,Keventer Agro Limited -Beverages,keventerbeverages
479,Keventer Agro Limited,Keventer Agro Limited,keventerfrozen,keventerfrozen
480,Keya Foods International Private Limited,Keya Foods International Private Limited,Keya Foods,keyafoods
481,Khoday India Limited,Khoday India Limited,Khoday India Limited,khodayms
482,Kilban Foods (India) Pvt Ltd.,Kilban Foods (India) Pvt Ltd,Kilban Foods (India) Private Limited,kilban
483,Kim-Fay East Africa Limited,Kim-Fay East Africa Limited,Kim-Fay East Africa Limited,kimfay
484,Kimberly Clark Hygiene Products Private Limited,Kimberly Clark Hygiene Products Private Limited,"Kimberly Clark 1,Nigeria",kimberly
485,Kimberly-Clark Asia Pacific Headquarters Pte Ltd,Kimberly-Clark Asia Pacific Headquarters Pte Ltd,Kimberly-Clark Hygiene Products Pvt. Ltd.,dmskcp
486,Kings Foodtech Private Limited,Kings Foodtech Private Limited,Kings Foodtech Private Limited,kingsfoodtech
487,Kiran Shoes Manufacturers (Goldstar),Kiran Shoes Manufacturers (Goldstar),Kiran Shoes Manufacturers,goldstarnepal
488,Kiran Shoes Manufacturers (Goldstar),Kiran Shoes Manufacturers (Goldstar),Kiran Shoes Manufacturers,goldstarnepal
489,Kiri Bottling Company Limited.,Kiri Bottling Company Limited.,Kiri Bottling Company (KBC),kbcl
490,Kiri Bottling Company Limited.,Kiri Bottling Company Limited.,Kiri Bottling Company (KBC),kbcl
491,KLF Nirmal Industries Private Limited,KLF Nirmal Industries Private Limited,KLFNIRMAL,klfnirmal
492,KM Oil Industries,KM Oil Industries,KM Oil Industries,kmoil
493,KM Oil Industries,KM Oil Industries,ctrmill,ctrmill
494,KM Oil Industries,KM Oil Industries,K.M.OIL INDUSTRIES,malayoram
495,Kores India Limited,Kores India Limited,Kores,kores
496,Kores India Limited,Kores India Limited,koreslead,koreslead
497,Kores India Limited,Kores India Limited,Kores India Limited,koresba
498,Kotak Hygienic Products LLP,Kotak Hygienic Products LLP,Kotak Hygienic Products LLP,kotakhygienic
499,KRBL Limited,KRBL Limited,KRBL Limited,krbl
500,KRBL Limited,KRBL Limited,MT-KRBL,mtkrbl
501,KRBL Limited,KRBL Limited,KRBL Ltd,krbldisha
502,Kumar Beverages Industries.,Kumar Beverages Industries,Kumar Beverages,kumarbeverages
503,Kushmanda Cosmetics Private Limited,Kushmanda Cosmetics Private Limited,Kushmanda Cosmetics Private Limited,kushmanda
504,Kwick Living (I) Private Limited.,Kwick Living (I) Private Limited,kwickliving,kwickliving
505,Kwick Living (I) Private Limited.,Kwick Living (I) Private Limited,kwickliving-b2b,ezeealka
506,Kwick Living (I) Private Limited.,Kwick Living (I) Private Limited,kwick living (i) private limited,kwick
507,Kwick Living (I) Private Limited.,Kwick Living (I) Private Limited,alka lifestyles private limited,alkalifestyles
508,Lactalis Trading Malaysia Sdn Bhd,Lactalis Trading Malaysia Sdn Bhd,Lactalis Malaysia,ltmalaysia
509,Lactalis Trading Malaysia Sdn Bhd,Lactalis Trading Malaysia Sdn Bhd,Lactalis India,lactalisindia
510,Lagom Labs Private Limited.,Lagom Labs Private Limited,LAGOM LABS PRIVATE LIMITED,nuaoffline
511,Lagom Labs Private Limited.,Lagom Labs Private Limited,Nua Woman,nuaofflinegt
512,Laljee Godhoo & Co,Laljee Godhoo & Co,laljee godhoo & Co.,laljeegodhoo
513,Langar Bidi Company Poona,Langar Bidi Company Poona,MS Langar Bidi Company Poona,lbcpoona
514,Lazer India Private Limited,Lazer India Private Limited,Lazer India Pvt Ltd,lazer
515,Leake Tesfay Import,Leake Tesfay Import,Leake Tesfay Import,lwinternational
516,M K Exim India Limited (Lewanna),M K Exim India Limited (Lewanna),M K Exim India LTD,lewanna
517,M K Exim India Limited (Lewanna),M K Exim India Limited (Lewanna),M K Exim India LTD,lewanna
518,M K Exim India Limited (Lewanna),M K Exim India Limited (Lewanna),M K Exim India LTD,lewanna
519,Lifelong Online Retail Private Limited,Lifelong Online Retail Private Limited,Lifelong Online Retail Private Limited,lifelong
520,Lifespice India Private Limited,Lifespice India Private Limited,LIFESPICE INDIA PRIVATE LIMITED,lifespice
521,Limar Enterprises,Limar Enterprises,LIMAR ENTERPRISES,kabanipromo
522,Limar Enterprises,Limar Enterprises,Kabani - LIMAR ENTERPRISES,ashkal
523,Limar Enterprises,Limar Enterprises,Kabani Group,kabani
524,Limar Enterprises,Limar Enterprises,Kabani Group,kabani
525,Lipleader Entercrop Private Limited,Lipleader Entercrop Private Limited,Lipleader,lipleader
526,Lluvia Limited,Lluvia Limited,Lluvia Limited,lluvia
527,Lohiya Edible Oils Private Limited,Lohiya Edible Oils Private Limited,Lohiya Edible Oil Pvt Ltd,lohiyagroup
528,Louis Dreyfus Company India Private Limited,Louis Dreyfus Company India Private Limited,Louis Dreyfus Company India Pvt Ltd,ldcretail
529,Luxottica India Eyewear Private Limited,Luxottica India Eyewear Private Limited,LUXOTTICA INDIA EYEWEAR PVT LTD,elview
530,Luxottica India Eyewear Private Limited,Luxottica India Eyewear Private Limited,Essilor India Pvt. Ltd.,essilor
531,M/S. We Create,M/S. We Create,M/S. WE CREATE,wecreate
532,Maggemane Foods LLP,Maggemane Foods LLP,Maggemane Foods LLP,maggemane
533,Mahalaxmi Industries,Mahalaxmi Industries,MAHALAXMI INDUSTRIES,spicelite
534,Mahalaxmi Sales & Marketing,Mahalaxmi Sales & Marketing,MAHALAXMI SALES AND MARKETING,mahalaxmi
535,Maharaj Soaps Industry Private Limited,Maharaj Soaps Industry Private Limited,MAHARAJA SOAPS PVT LTD,ricon
536,Maharaj Soaps Industry Private Limited,Maharaj Soaps Industry Private Limited,MAHARAJA SOAPS PVT LTD,ricon
537,Maharani Dall Mill Contractors Sri Maharani Dall Producers (Tenali Double Horse),Maharani Dall Mill Contractors Sri Maharani Dall Producers (Tenali Double Horse),MAHARANI DALL MILL,tenalidoublehorse
