id,zoho_name,cmrr_name,install_name,domain
84,Avanti Pet Care Private Limited,Avanti Pet Care Private Limited,Avanti Pet Care,avantipetcare
85,Ayoka Global Private Limited,Ayoka Global Private Limited,Ayoka Global Private Limited,ayokaglobal
86,B.N. Agritech Limited,B.N. Agritech Limited,BN AGRITECH LIMITED,bn-agri
87,B.R.Food & Health,B.R.Food & Health,,
88,Babylove Sanitary Products and Packaging Limited,Babylove Sanitary Products and Packaging Limited,Babylove Sanitary Products & Packaging,babylove
89,Bajaj Electricals Limited,Bajaj Electricals Limited,Bajaj Electricals Ltd.,bajajelectricals
90,Balajee NP Pvt Ltd,Balajee NP Pvt Ltd,BALAJEE NP PVT LTD,balajee
91,Bankai Agrifood Private Limited,Bankai Agrifood Private Limited,Bankai Agrifood Pvt. Ltd,bankaiagrifood
92,Bansal Extraction And Exports Private Limited,Bansal Extraction And Exports Private Limited,Bansal Extraction & Exports PVT LTD,bansal
93,Barak Valley Infrastructure,Barak Valley Infrastructure,BARAK VALLEY INFRASTRUCTURE,green
94,Basco Products (K) Limited,Basco Products (K) Limited,Basco Products (K) Ltd,duracoat
95,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,B2B - VN Market,b2b-vn
96,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Algeria],batalg
97,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Indonesia],b2b-id
98,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Zambia],batzam
99,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Pakistan],batpak
100,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Papua New Guinea],b2b-png
101,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco [Solomon],b2b-sol
102,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,BAT Gulf,batgulf
103,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco Marketing Nigeria Limited,batnig
104,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,BAT Gulf,batghn
105,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,British American Tobacco Zimbabwe (Holdings) Limited,batzim
106,British American Shared Services (GSD) Limited,British American Shared Services (GSD) Limited,BAT Gulf,batrecodummy
107,Bauli India Bakes & Sweets Private Limited,Bauli India Bakes & Sweets Private Limited,Bauli India Bakes & Sweets Pvt Ltd,bauliindia
108,Bausch & Lomb India Private Limited,Bausch & Lomb India Private Limited,bnlibosdms,bnlibosdms
109,Bausch & Lomb India Private Limited,Bausch & Lomb India Private Limited,bausch_and_lomb,bnlorderz
110,Bausch & Lomb India Private Limited,Bausch & Lomb India Private Limited,Demo- Bausch & Lomb India Private Limited,bnlibosdmstest
111,Bazana Foods Private Limited,Bazana Foods Private Limited,bazana,bazana
112,Beacon Power Systems,Beacon Power Systems,BEACON POWER,beaconpower
113,Beacon Power Systems,Beacon Power Systems,Beacon Power Systems,beacon
114,Beacon Power Systems,Beacon Power Systems,beacon power system,beaconps
115,Beacon Power Systems,Beacon Power Systems,beacon power system,beaconps
116,Begwani Group,Begwani Group,Bimal Tarde Concern,begwanigroup
117,Nivea India Private Limited,Nivea India Private Limited,niveaindia pragati,niveaindia.pragati
118,Beiersdorf India Private Limited,Beiersdorf India Private Limited,Beiersdorf India Pvt.Ltd,beiersdorf
119,Bengaluru Co-Operative Milk Union Limited,Bengaluru Co-Operative Milk Union Limited,Bangalore Milk Union Limited,bamul
120,Bentec India Limited,Bentec India Limited,Bentec,bentec
121,Bergner Impex (India) Private Limited,Bergner Impex (India) Private Limited,Bergner Impex (India) Private Limited,bergner
122,Bharat Skyr & Doodh Products Private Limited,Bharat Skyr & Doodh Products Private Limited,Bharat Skyr & Doodh Products Private Limited.,bharatskyr
123,Bhaskar Venkatesh Products Private Limited,Bhaskar Venkatesh Products Private Limited,Bhaskar Venkatesh Products,bvppl
124,Bikanervala Foods Private Limited,Bikanervala Foods Private Limited,bikanervala foods pvt. ltd.,bikano
125,Bikanervala Foods Private Limited,Bikanervala Foods Private Limited,Bikanervala pvt ltd,bikanomt
126,Bimala Spices Food Industries Private Limited,Bimala Spices Food Industries Private Limited,BIMALA SPICES FOOD INDUSTRIES PVT.LTD,sukshm
127,Binito Foods Private Limited,Binito Foods Private Limited,Binito Foods Private Limited.,binitofoods
128,Bioweal Products Private Limited,Bioweal Products Private Limited,Bioweal Products Private Limited,bioweal
129,Oddity Healthcare Private Limited,Oddity Healthcare Private Limited,Blitz,blitz
130,Earth Rhythm Private Limited,Earth Rhythm Private Limited,Blitz,blitz
131,Navashya Consumer Products Private Limited,Navashya Consumer Products Private Limited,Blitz,blitz
132,Lagom Labs Private Limited.,Lagom Labs Private Limited,Blitz,blitz
133,Marvelle Health Care Private Limited.,Marvelle Health Care Private Limited,MARVELLE HEALTH CARE PRIVATE LIMITED,marvellehealthcare
134,Puraforma Foods Private Limited,Puraforma Foods Private Limited,Blitz,blitz
135,Natch Products And Services Private Limited,Natch Products And Services Private Limited.,Blitz,blitz
136,Anna B Creations Private Limited,Anna B Creations Private Limited,Blitz,blitz
137,Kairos Super Foods Private Limited.,Kairos Super Foods Private Limited,ANCIENT ROOTS,ancientroots
138,Miror therapeutics Pvt Ltd,Miror therapeutics Pvt Ltd,,
139,ONDC,ONDC,ONDC,ondc
140,ONDC,ONDC,Retailerapp - For ONDC,retailerapp
141,Herbal Strategi Homecare Private Limited,Herbal Strategi Homecare Private Limited,Blitz,blitz
142,Hyuga Health & Wellness Private Limited,Hyuga Health & Wellness Private Limited,Blitz,blitz
143,Natch Products And Services Private Limited,Natch Products And Services Private Limited,Natch Products and Services Private Limited,natch
144,Bluetail GTM India Private Limited,Bluetail GTM India Private Limited,BLUETAIL GTM INDIA PRIVATE LIMITED,bluetail
145,Body Cupid Private Limited,Body Cupid Private Limited,Body Cupid Pvt Ltd (WoW skin science),wowskin
146,Bootup Food And Beverages Private Limited,Bootup Food And Beverages Private Limited,Bootup Food and beverages private limited,blissupindia
147,BPL Medical Technologies Private Limited,BPL Medical Technologies Private Limited,BPL MEDICAL TECHNOLOGIES PRIVATE LIMITED,bmtpl
148,BR Metallics Private Limited,BR Metallics Private Limited,BR Metallics,greenbrm
149,Brajeshwori Industries Pvt. Ltd.,Brajeshwori Industries Pvt. Ltd.,Brajeshwori Industries Pvt. Ltd.,brajeshwori
150,Bright Lifecare Private Limited,Bright Lifecare Private Limited (Healthkart),healthkart,healthkart
151,Bright Lifecare Private Limited,Bright Lifecare Private Limited (Healthkart),Brightlife- Care Pvt. Ltd.,hkretail
152,Bright Lifecare Private Limited,Bright Lifecare Private Limited (Healthkart),HEALTH KART,healthkartmt
153,Bright Lifecare Private Limited,Bright Lifecare Private Limited (Healthkart),HealthkartB2B,hkb2bpos
154,Bright Lifecare Private Limited,Bright Lifecare Private Limited (Healthkart),Healthkartb2b.,hkb2b
155,Brinton Pharmaceuticals Limited,Brinton Pharmaceuticals Limited,BRINTON PHARMACEUTICALS LIMITED,mybrinton
156,Budge Budge Refineries Limited,Budge Budge Refineries Limited,Budge Budge Refineries Limited,bbrlsales
157,Edible Products India Limited,Edible Products India Limited,Edible Products (India) Limited,ediblekmpayurvedic
158,Buy Happy Marketing LLP,Buy Happy Marketing LLP,BuyHappy Marketing LLP,buyhappy
159,C.P.Milk & Food Products Private Limited,C.P.Milk & Food Products Private Limited,Gyan Dairy,gyandairy
160,C.P.Milk & Food Products Private Limited,C.P.Milk & Food Products Private Limited,c.p milk & food products,mpdgyan
161,Caraway PTE Ltd,Caraway Africa Nigeria Limited,Olam Internationals,caraway
162,Caraway PTE Ltd,Caraway Africa Nigeria Limited,OLAM GHANA Limited,nutrifoodsghana
163,Caraway PTE Ltd,Caraway Africa Nigeria Limited,Olam Internationals,caraway
164,Caraway PTE Ltd,Caraway Africa Nigeria Limited,Caraway Ivoire,carawayivc
165,Carborundum Universal Limited,Carborundum Universal Limited,CARBORUNDUM UNIVERSAL LIMITED,cumi
166,Carlsberg India Private Limited,Carlsberg India Private Limited,,
167,CG Foods (Nepal) Pvt. Ltd.,CG Foods (Nepal) Pvt. Ltd.,Chaudhary Group,cgfn
168,CG Foods (Nepal) Pvt. Ltd.,CG Foods (Nepal) Pvt. Ltd.,Chaudhary Group 1,cgbrewery
169,CG Foods (Nepal) Pvt. Ltd.,CG Foods (Nepal) Pvt. Ltd.,CG Brewery Nepal Limited,cgbeverages
170,CG Foods (Nepal) Pvt. Ltd.,CG Foods (Nepal) Pvt. Ltd.,CG Brewery Nepal Limited,cgbeverages
171,CG Cement Industries Palpa Pvt Ltd.,CG Cement Industries Palpa Pvt Ltd.,CG Cement industries palpa pvt.ltd,cgcement
172,Chanakya Dairy Products Private Limited,Chanakya Dairy Products Private Limited,Chanakya Dairy Products Private Ltd.,hfsuper
173,Chip-Valley Foods Private Limited,Chip-Valley Foods Private Limited,Chip Valley Foods Pvt Ltd,chipvalleyfoods
174,Chromachemie Laboratory Private Limited,CHROMACHEMIE LABORATORY PRIVATE LIMITED,Saintevia foods Private limited,saintevia
175,Chromachemie Laboratory Private Limited,CHROMACHEMIE LABORATORY PRIVATE LIMITED,Saintevia foods Private limited,saintevia
176,Orient Electric Limited,Orient Electric Limited,Orient Electric Ltd.,orient
177,Bluemingo Tech Private Limited,Bluemingo Tech Private Limited,Bluemingohcch,bluemingohcch
178,Coca-Cola India Private Limited,Coca-Cola India Private Limited,scocacola - Only for billing purpose,scocacola
179,Narmada Drinks Private Limited,Narmada Drinks Private Limited,superior group narmada,narmada
180,Superior Drinks Private Limited,Superior Drinks Private Limited,Superior Group,superior
181,Udaipur Beverages Limited,Udaipur Beverages Limited,UDAIPUR BEVERAGES LIMITED,udaipur
182,Jai Beverages Private Limited,Jai Beverages Private Limited,jai beverages,jbpl
183,Coca-Cola Beverages Vietnam Limited,Coca-Cola Beverages Vietnam Limited,Demo,demo
184,Coca-Cola Beverages Vietnam Limited,Coca-Cola Beverages Vietnam Limited,Demo,demo
185,Coca-Cola Beverages Vietnam Limited,Coca-Cola Beverages Vietnam Limited,Demo,demo
186,Coca-Cola Beverages Vietnam Limited,Coca-Cola Beverages Vietnam Limited,Demo,demo
187,Coca-Cola Beverages Vietnam Limited,Coca-Cola Beverages Vietnam Limited,Demo,demo
188,Colgate Palmolive India Ltd,Colgate Palmolive India Ltd,Colgate-Palmolive (India) Limited,colgatenepal
189,Core De Industries (Rishi Sanjay Korde),Core De Industries (Rishi Sanjay Korde),Core De Industries,corede
190,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
191,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
192,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
193,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
194,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
195,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
196,Crop Growth (India) Private Limited (Delhi),Crop Growth (India) Pvt Ltd,cropgrowth,cropgrowth
197,Crystal Cook N Serve Products Private Limited,Crystal Cook N Serve Products Private Limited,CRYSTAL COOK,crystalcook
198,Cultgear Private Limited,Cultgear Private Limited,CULTGEAR PVT LTD,cultsport
199,Cultgear Private Limited,Cultgear Private Limited,CULTGEAR PVT LTD,cultsport
200,D C Johar And Sons Private Limited,D C Johar And Sons Private Limited,dcjohars,dcjohars
201,D C Johar And Sons Private Limited,D C Johar And Sons Private Limited,dcjohars,dcjohars
202,Daddy Dairy India Private Limited.,Daddy Dairy India Private Limited,Daddy Dairy India Private Limited,daddydairy
203,Daddy Dairy India Private Limited.,Daddy Dairy India Private Limited.,Daddy Dairy India Private Limited,daddydairy
204,Dagadu Telli Chandwadkar Trading Company,Dagadu Telli Chandwadkar Trading Company,Dagdu Teli Chandwadkar Trading Company,dtctc
205,DD Shah Food Labs LLP,DD Shah Food Labs LLP,DD SHAH FOOD LAB LLP,ultrapop
206,Deccan Grainz Private Limited,Deccan Grainz Private Limited,DECCAN GRAINZ PRIVATE LIMITED,dgplweb
207,Fieldfresh Foods Private Limited,Del Monte Foods Private Limited (Fieldfresh),Delmonte - Food services,delmontefs
208,Fieldfresh Foods Private Limited,Del Monte Foods Private Limited (Fieldfresh),Delmonte,delmonte
209,Fieldfresh Foods Private Limited,Del Monte Foods Private Limited (Fieldfresh),Delmonte,delmonte
210,Fieldfresh Foods Private Limited,Del Monte Foods Private Limited (Fieldfresh),Delmonte,delmonte
211,Fieldfresh Foods Private Limited,Del Monte Foods Private Limited (Fieldfresh),delmontemt,delmontemt
212,Delicia Foods (Monginis Foods),Delicia Foods (Monginis Foods),monginis,monginis
213,Denzour Nutrition Private Limited,Denzour Nutrition Private Limited,Denzor Nutrition,denzuu
214,Desai Foods Private Limited,Desai Foods Private Limited,Mothersrecipe,mothersrecipe
215,Dev Milk Foods Private Limited,Dev Milk Foods Private Limited,Dev Milk Foods Pvt. Ltd.,frubon
216,Devata Associates,Devata Associates,M/s. Devata Associates,devata
217,DFM Foods Ltd,DFM Foods Ltd,DFM Foods Ltd.,crax
218,Dhamija Grinders Private Limited,Dhamija Grinders Private Limited,Dhamija Grinders Pvt. Ltd,spicekichnam
219,Dhampur Bio Organics Limited,Dhampur Bio Organics Limited,Dhampur Bio Organics Limited,dhampur
220,Dhanalakshmi Srinivasan Sugars Private Limited (VV Sugar),Dhanalakshmi Srinivasan Sugars Private Limited (VV Sugar),dhanalakshmi srinivasan sugars pvt ltd.,vvsugars
221,Dhanalakshmi Srinivasan Sugars Private Limited (VV Sugar),Dhanalakshmi Srinivasan Sugars Private Limited (VV Sugar),dhanalakshmi srinivasan sugars pvt ltd.,vvsugars
222,Dhariwal Food,Dhariwal Food,Dhariwal Food (Unit of PRD Food Products LLP),dhariwalfood
223,Dhathri Ayurveda Private Limited,Dhathri Ayurveda Private Limited,Dhathri Ayurveda Pvt.Ltd,dhathri
224,Diet Fibre 365 Food Products Private Limited.,Diet Fibre 365 Food Products Private Limited,Jackfruit 365,jackfruit365
225,Dileo Care India Private Limited,Dileo Care India Private Limited,Dileo Care India Private Limited,dileo
226,Dolphin Foods India Limited,Dolphin Foods India Limited,Dolphin Foods India Limited,dolphinfoods
227,DRB Foods Private Limited,DRB Foods Private Limited,DRB Foods Pvt Ltd,drbfoods
228,Drums Food International Private Limited,Drums Food International Private Limited,drumsfood,drumsfood
229,Drums Food International Private Limited,Drums Food International Private Limited,DRUMS Food International Pvt.Ltd,hokeypokey
230,Dharampal Premchand Ltd (DS Spiceco),Dharampal Premchand Ltd (DS Spiceco),DP Group FMCG,dpgroup
231,Dharampal Premchand Ltd (DS Spiceco),Dharampal Premchand Ltd (DS Spiceco),DP Group Tobacco,dpgroup1
232,Dharampal Premchand Ltd (DS Spiceco),Dharampal Premchand Ltd (DS Spiceco),DS Wholesale,dswholesale
233,Dharampal Satyapal Limited (DS Spiceco),Dharampal Satyapal Limited (DS Spiceco),Dharampal Satyapal Limited,dsgroup
234,Dharampal Satyapal Limited (DS Spiceco),Dharampal Satyapal Foods Limited (DS Spiceco),DS CONFECTIONERY,dsconfectionery
235,DS Spiceco Private Limited,DS Spiceco Private Limited,ds spiceco pvt. ltd.,dsspiceco
236,DS Spiceco Private Limited,DS Spiceco Private Limited,ds-dairy,dsdairy
237,DS Spiceco Private Limited,DS Spiceco Private Limited,dharampal satyapal ltd,dsgroupbd
238,DS Spiceco Private Limited,DS Spiceco Private Limited,DHARAMPAL SATYAPAL LTD 1,dsagri
239,DS Spiceco Private Limited,DS Spiceco Private Limited,dharampal satyapal ltd-1,dsgroupmt
240,DS Spiceco Private Limited,DS Spiceco Private Limited,DS Spice Nepal,dsspiceco-np
241,Pravek Kalp Private Limited,Pravek Kalp Private Limited,Pravek Kalp Pvt Ltd,pravek
242,Dugar Consumer Products Private Limited,Dugar Consumer Products Private Limited,Dugar Consumer Products team,dugar
243,Duraent Lifesciences LLP,Duraent Lifesciences LLP,Duraent Lifesciences LLP,duraentlifescience
244,Balaji Electronics (Durai Raj Srinivasalu Naidu),Balaji Electronics (Durai Raj Srinivasalu Naidu),Balaji Electronics,balaji
